article_id,media,title,description,url,date,year
756,detik,Tantangan Minta Maaf Purbaya ke Rocky Gerung Jika Ekonomi Balik ke 6%,"Menteri Keuangan Purbaya Yudhi Sadewa meminta Rocky Gerung maaf jika pertumbuhan ekonomi bisa balik lagi dari 5% ke 6%, atau lebih.",https://finance.detik.com/berita-ekonomi-bisnis/d-8132571/tantangan-minta-maaf-purbaya-ke-rocky-gerung-jika-ekonomi-balik-ke-6,"Sabtu, 27 Sep 2025 06:00 WIB",2025
757,detik,Video Purbaya Janji Bakal Perbaiki Kebijakan Fiskal-Moneter,"Menkeu Purbaya mengatakan, kebijakan fiskal dan moneter menjadi penyebab aksi demonstrasi belakangan ini. Ia pun berjanji akan memperbaiki kebijakan tersebut.",https://20.detik.com/detikupdate/20250910-250910078/video-purbaya-janji-bakal-perbaiki-kebijakan-fiskal-moneter,"Rabu, 10 Sep 2025 18:23 WIB",2025
758,detik,Video Purbaya Usai Sertijab Menkeu: Amanah Ini Tidak Ringan,Menkeu Purbaya Yudhi Sadewa mengakui tugas yang diembannya tidaklah mudah. Kondisi global yang penuh ketidakpastian menjadi tantangan besar.,https://20.detik.com/detikupdate/20250909-250909057/video-purbaya-usai-sertijab-menkeu-amanah-ini-tidak-ringan,"Selasa, 09 Sep 2025 15:51 WIB",2025
759,detik,Video Sri Mulyani Resmi Serahkan Jabatan Menkeu ke Purbaya Yudhi,Sri Mulyani secara resmi menyerahkan jabatan Menteri Keuangan (Menkeu) kepada Purbaya Yudhi Sadewa.,https://20.detik.com/detikupdate/20250909-250909034/video-sri-mulyani-resmi-serahkan-jabatan-menkeu-ke-purbaya-yudhi,"Selasa, 09 Sep 2025 13:23 WIB",2025
760,detik,"Mengenal Konsep Sumitronomics, Strategi Purbaya Genjot Ekonomi 8%",Menteri Keuangan Purbaya Yudhi Sadewa memperkenalkan Sumitronomics sebagai strategi pembangunan ekonomi Indonesia.,https://finance.detik.com/berita-ekonomi-bisnis/d-8127765/mengenal-konsep-sumitronomics-strategi-purbaya-genjot-ekonomi-8,"Rabu, 24 Sep 2025 12:29 WIB",2025
761,detik,"Usai Bertemu Djarum-Gudang Garam, Purbaya Putuskan Cukai Rokok Tak Naik",Menteri Keuangan Purbaya Yudhi Sadewa mengumumkan cukai hasil tembakau (CHT) atau cukai rokok tidak naik di 2026.,https://finance.detik.com/industri/d-8132587/usai-bertemu-djarum-gudang-garam-purbaya-putuskan-cukai-rokok-tak-naik,"Sabtu, 27 Sep 2025 06:27 WIB",2025
762,detik,Alasan Purbaya Tunda Pajak Pedagang Online: Ini Kan Baru Ribut-ribut Kemarin,Menteri Keuangan Purbaya Yudhi Sadewa menunda kebijakan pungutan pajak e-commerce terhadap pedagang di toko online.,https://finance.detik.com/berita-ekonomi-bisnis/d-8132595/alasan-purbaya-tunda-pajak-pedagang-online-ini-kan-baru-ribut-ribut-kemarin,"Sabtu, 27 Sep 2025 07:00 WIB",2025
763,detik,Plt Bos LPS Ungkap Tantangan Pengganti Purbaya,"Plt Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS), Didik Madiyono, turut bicara ihwal transisi kepemimpinan LPS yang belakangan ramai dibicarakan.",https://finance.detik.com/moneter/d-8124907/plt-bos-lps-ungkap-tantangan-pengganti-purbaya,"Senin, 22 Sep 2025 19:30 WIB",2025
764,detik,Anggito Abimanyu Jadi Ketua LPS Gantikan Purbaya,Posisi Ketua Lembaga Penjamin Simpanan (LPS) resmi diisi oleh Wakil Menteri Keuangan (Wamenkeu) Anggito Abimanyu,https://www.detik.com/jateng/berita/d-8125337/anggito-abimanyu-jadi-ketua-lps-gantikan-purbaya,"Senin, 22 Sep 2025 23:45 WIB",2025
765,detik,Purbaya Wanti-wanti Pegawai Pajak: Yang Sudah Bayar Jangan Diganggu!,Menteri Keuangan Purbaya Yudhi Sadewa menegaskan pegawai pajak harus adil dan tidak memeras wajib pajak.,https://finance.detik.com/berita-ekonomi-bisnis/d-8126593/purbaya-wanti-wanti-pegawai-pajak-yang-sudah-bayar-jangan-diganggu,"Rabu, 24 Sep 2025 05:55 WIB",2025
766,detik,Bisakah APBN di Era Prabowo Tak Defisit? Ini Kata Purbaya,Menteri Keuangan Purbaya Yudhi Sadewa menanggapi harapan Prabowo untuk APBN tanpa defisit pada 2027-2028.,https://finance.detik.com/berita-ekonomi-bisnis/d-8126926/bisakah-apbn-di-era-prabowo-tak-defisit-ini-kata-purbaya,"Rabu, 24 Sep 2025 07:00 WIB",2025
767,detik,"Menkeu Purbaya Ungkap 81 Pengemplang Pajak Sudah Bayar, Totalnya Rp 5,1 T","Kemenkeu kejar 200 penunggak pajak besar dengan kewajiban mencapai Rp 60 triliun. Hingga September 2025, 84 wajib pajak telah bayar Rp 5,1 triliun.",https://www.detik.com/sumut/bisnis/d-8131918/menkeu-purbaya-ungkap-81-pengemplang-pajak-sudah-bayar-totalnya-rp-5-1-t,"Jumat, 26 Sep 2025 18:30 WIB",2025
768,detik,"Purbaya ke Rocky Gerung: Kalau Ekonomi 6%, Minta Maaf ke Saya!","Menteri Keuangan Purbaya Yudhi Sadewa menanggapi kritik Rocky Gerung, menantang untuk minta maaf jika pertumbuhan ekonomi mencapai 6%.",https://finance.detik.com/berita-ekonomi-bisnis/d-8132238/purbaya-ke-rocky-gerung-kalau-ekonomi-6-minta-maaf-ke-saya,"Jumat, 26 Sep 2025 18:20 WIB",2025
769,detik,"Usai Bertemu Bos BGN, Purbaya Sebut Anggaran MBG Kurang Rp 28 Triliun","Menteri Keuangan Purbaya Yudhi Sadewa mendatangi kantor Kepala Badan Gizi Nasional (BGN), Dadan Hindayana.",https://finance.detik.com/berita-ekonomi-bisnis/d-8132104/usai-bertemu-bos-bgn-purbaya-sebut-anggaran-mbg-kurang-rp-28-triliun,"Jumat, 26 Sep 2025 17:10 WIB",2025
770,detik,"84 Pengemplang Pajak Sudah Bayar Rp 5,1 T, Purbaya: Mereka Nggak Bisa Lari!","Kemenkeu kejar 200 penunggak pajak besar dengan kewajiban mencapai Rp 60 triliun. Hingga September 2025, 84 wajib pajak telah bayar Rp 5,1 triliun.",https://finance.detik.com/berita-ekonomi-bisnis/d-8131883/84-pengemplang-pajak-sudah-bayar-rp-5-1-t-purbaya-mereka-nggak-bisa-lari,"Jumat, 26 Sep 2025 15:54 WIB",2025
771,detik,Video Menkeu Purbaya Pilih Genjot Ekonomi Tanpa Tambah Utang Besar,"Menteri Keuangan Purbaya Yudhi Sadewa menegaskan bahwa pengelolaan anggaran, termasuk kebijakan utang, harus dilakukan secara countercylical.",https://20.detik.com/detikupdate/20250923-250923082/video-menkeu-purbaya-pilih-genjot-ekonomi-tanpa-tambah-utang-besar,"Selasa, 23 Sep 2025 20:27 WIB",2025
772,detik,Kenaikan Gaji PNS cs Tergantung Keputusan Purbaya & Kondisi Kantong Negara,"Rencana kenaikan gaji Aparatur Sipil Negara (PNS & PPPK), TNI/Polri, hingga pejabat negara sempat mencuat. Jadi naik?",https://finance.detik.com/berita-ekonomi-bisnis/d-8132155/kenaikan-gaji-pns-cs-tergantung-keputusan-purbaya-kondisi-kantong-negara,"Jumat, 26 Sep 2025 17:42 WIB",2025
773,detik,Purbaya Sentil Pegawai Pajak: Nggak Ada Lagi Cerita Memeras!,Menteri Keuangan Purbaya Yudhi Sadewa menegaskan akan menindak pegawai pajak nakal dan penunggak pajak.,https://finance.detik.com/berita-ekonomi-bisnis/d-8126124/purbaya-sentil-pegawai-pajak-nggak-ada-lagi-cerita-memeras,"Selasa, 23 Sep 2025 14:11 WIB",2025
