media,title,description,url,date,year
detik,Purbaya Bakal Kasih Insentif ke Pegawai Pajak & Bea Cukai Jika Tax Ratio 12%,"""Nanti kalau bagus sekali, sekarang kan (tax ratio) sekitar 10% ya, kalau bisa masuk 12% dalam waktu satu tahun nanti kita akan kasih insentif,"" kata Purbaya.",https://finance.detik.com/berita-ekonomi-bisnis/d-8154773/purbaya-bakal-kasih-insentif-ke-pegawai-pajak-bea-cukai-jika-tax-ratio-12,"Jumat, 10 Okt 2025 16:17 WIB",2025
detik,"Purbaya Ungkap Serapan Rp 200 T di Bank BUMN, BTN Terendah","Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa, mengungkap progres serapan dana Rp 200 triliun ke perbankan.",https://finance.detik.com/moneter/d-8154760/purbaya-ungkap-serapan-rp-200-t-di-bank-bumn-btn-terendah,"Jumat, 10 Okt 2025 16:07 WIB",2025
detik,"Serapan Dana BTN Rendah, Purbaya Bakal Geser Rp 15 T ke Bank Lain","""Mungkin Rp 15 (triliun) saya akan distribusi ke tempat lain kalau mereka nggak bisa setiap juga,"" kata Purbaya.",https://finance.detik.com/moneter/d-8154661/serapan-dana-btn-rendah-purbaya-bakal-geser-rp-15-t-ke-bank-lain,"Jumat, 10 Okt 2025 15:27 WIB",2025
detik,"Ada Wacana Tunggakan Iuran BPJS Kesehatan Mau Dihapus, Ini Kata Purbaya",Menteri Keuangan Purbaya Yudhi Sadewa buka suara terkait wacana penghapusan tunggakan iuran BPJS Kesehatan.,https://finance.detik.com/moneter/d-8154715/ada-wacana-tunggakan-iuran-bpjs-kesehatan-mau-dihapus-ini-kata-purbaya,"Jumat, 10 Okt 2025 15:46 WIB",2025
detik,Purbaya Akan Alihkan Rp 15 T dari Jatah Rp 25 T buat BTN ke Bank Lain,Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa akan mengalihkan sisa dana Rp 200 triliun yang gagal disalurkan bank BUMN. Salah satunya dari jatah BTN.,https://finance.detik.com/moneter/d-8153598/purbaya-akan-alihkan-rp-15-t-dari-jatah-rp-25-t-buat-btn-ke-bank-lain,"Kamis, 09 Okt 2025 20:40 WIB",2025
detik,"Gubernur Ramai-ramai Protes Purbaya TKD Disunat, Legislator: Harus Mandiri",Anggota Komisi II DPR Ahmad Doli menanggapi protes gubernur terkait pemotongan TKD. Ia mendorong Pemda untuk berinovasi dan mandiri secara finansial.,https://news.detik.com/berita/d-8151344/gubernur-ramai-ramai-protes-purbaya-tkd-disunat-legislator-harus-mandiri,"Rabu, 08 Okt 2025 17:29 WIB",2025
detik,Video Purbaya Pamer Sebulan Jadi Menteri: IHSG Naik Kencang,"Purbaya Yudhi Sadewa memamerkan hasil kerjanya setelah satu bulan menjabat sebagai Menteri Keuangan. Menurutnya, IHSG kini berhasil melaju kencang.",https://20.detik.com/detikupdate/20251010-251010009/video-purbaya-pamer-sebulan-jadi-menteri-ihsg-naik-kencang,"Jumat, 10 Okt 2025 05:13 WIB",2025
detik,"Bahlil hingga Purbaya Rapat Bahas Kompensasi BBM dan Listrik, Ini Hasilnya","""Oh tadi, kita tadi pertemuan dengan Menkeu dan Kepala BUMN itu kita bahas tentang percepatan pembayaran kompensasi, dari listrik dan BBM,"" kata Bahlil.",https://finance.detik.com/energi/d-8154382/bahlil-hingga-purbaya-rapat-bahas-kompensasi-bbm-dan-listrik-ini-hasilnya,"Jumat, 10 Okt 2025 13:33 WIB",2025
detik,"Soal Peluang Maju Cawapres, Purbaya: Gue Nggak Peduli!","Menteri Keuangan (Menkeu), Purbaya Yudhi Sadewa angkat bicara soal peluang maju menjadi calon wakil presiden (cawapres).",https://finance.detik.com/berita-ekonomi-bisnis/d-8154051/soal-peluang-maju-cawapres-purbaya-gue-nggak-peduli,"Jumat, 10 Okt 2025 10:36 WIB",2025
detik,IHSG Menguat Kala Purbaya Sambangi Bursa,"IHSG dibuka menguat di level 8.100an setelah kunjungan Menkeu Purbaya Yudhi Sadewa ke BEI. Mayoritas saham menguat, mencatat transaksi Rp 3,19 triliun.",https://finance.detik.com/bursa-dan-valas/d-8152143/ihsg-menguat-kala-purbaya-sambangi-bursa,"Kamis, 09 Okt 2025 09:25 WIB",2025
detik,Purbaya Tiba-tiba Sambangi Markas Pasar Modal,"Menteri Keuangan (Menkeu), Purbaya Yudhi Sadewa, tiba-tiba mengunjungi kantor Bursa Efek Indonesia (BEI), Jakarta Selatan, Kamis (9/10).",https://finance.detik.com/bursa-dan-valas/d-8152070/purbaya-tiba-tiba-sambangi-markas-pasar-modal,"Kamis, 09 Okt 2025 08:38 WIB",2025
detik,Purbaya Cerita Disemprot Istri Gara-gara Pindah Kerja-Gaji Turun,Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa mengaku sempat disemprot istrinya karena memilih pindah kerja tapi gajinya turun.,https://finance.detik.com/berita-ekonomi-bisnis/d-8153648/purbaya-cerita-disemprot-istri-gara-gara-pindah-kerja-gaji-turun,"Kamis, 09 Okt 2025 21:30 WIB",2025
detik,"Purbaya Akan Kembalikan Anggaran Transfer ke Daerah, tapi Ada Syaratnya",Menteri Keuangan Purbaya Yudhi Sadewa akan mempertimbangkan tidak memotong anggaran transfer ke daerah. Tapi syaratnya pemda harus memperbaiki kinerja keuangan.,https://finance.detik.com/berita-ekonomi-bisnis/d-8153659/purbaya-akan-kembalikan-anggaran-transfer-ke-daerah-tapi-ada-syaratnya,"Kamis, 09 Okt 2025 21:58 WIB",2025
detik,Purbaya Tunda Pajak Pedagang Online hingga Ekonomi Tumbuh 6%,Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa mengatakan penundaan pungutan pajak pedagang online akan dilakukan selama proses pemulihan ekonomi.,https://finance.detik.com/berita-ekonomi-bisnis/d-8153630/purbaya-tunda-pajak-pedagang-online-hingga-ekonomi-tumbuh-6,"Kamis, 09 Okt 2025 21:09 WIB",2025
detik,"Sebulan Jadi Menkeu, Purbaya Tunjuk ke Atas: IHSG Naik Kencang!","Purbaya Yudhi Sadewa, Menteri Keuangan baru, laporkan peningkatan IHSG dalam sebulan. Optimisme masyarakat meningkat, demonstrasi berkurang.",https://finance.detik.com/bursa-dan-valas/d-8153417/sebulan-jadi-menkeu-purbaya-tunjuk-ke-atas-ihsg-naik-kencang,"Kamis, 09 Okt 2025 18:55 WIB",2025
detik,"Purbaya Mau Tempatkan Dana ke BPD, OJK Respons Begini",OJK merespons wacana penempatan dana pemerintah di BPD untuk mendorong perekonomian daerah.,https://finance.detik.com/moneter/d-8153242/purbaya-mau-tempatkan-dana-ke-bpd-ojk-respons-begini,"Kamis, 09 Okt 2025 17:31 WIB",2025
detik,Kata Purbaya Soal Kenaikan Iuran BPJS Kesehatan 2026,Iuran BPJS Kesehatan dimungkinkan akan naik pada 2026. Begini kata Menkeu Purbaya.,https://www.detik.com/kalimantan/bisnis/d-8152750/kata-purbaya-soal-kenaikan-iuran-bpjs-kesehatan-2026,"Kamis, 09 Okt 2025 16:01 WIB",2025
detik,Purbaya Rapat Bareng Seskab Tedy Bahas Kondisi Perbankan RI,Menteri Keuangan Purbaya Yudhi Sadewa memimpin rapat dengan Wakil Menteri dan pejabat lainnya.,https://finance.detik.com/moneter/d-8152818/purbaya-rapat-bareng-seskab-tedy-bahas-kondisi-perbankan-ri,"Kamis, 09 Okt 2025 14:50 WIB",2025
detik,Purbaya Sebut Kenaikan Iuran BPJS Kesehatan Belum Final,Menteri Keuangan Purbaya Yudhi Sadewa menyatakan bahwa kenaikan iuran BPJS Kesehatan belum diputuskan. Pembahasan masih berlangsung dengan Menteri Kesehatan.,https://finance.detik.com/moneter/d-8152341/purbaya-sebut-kenaikan-iuran-bpjs-kesehatan-belum-final,"Kamis, 09 Okt 2025 11:22 WIB",2025
detik,Purbaya Beberkan Biang Kerok Keyakinan Konsumen RI Melorot,Indeks Keyakinan Konsumen (IKK) anjlok ke 115 pada September 2025 akibat perlambatan ekonomi.,https://finance.detik.com/berita-ekonomi-bisnis/d-8152254/purbaya-beberkan-biang-kerok-keyakinan-konsumen-ri-melorot,"Kamis, 09 Okt 2025 10:45 WIB",2025
